var,y_s,last_y,imp,ex,q,c_m,i_m,i_d,pi_i,mc_d,mc_mc,mc_mi,u,H,gamma_cd,gamma_id,gamma_f,i_c,i_y,i_w,R_,pi_c_,pi_cbar_,pi_i_,pi_d_,dy_,dc_,di_,dimp_,dex_,dy_star_,pi_star_,R_star_,dE_,dS_,dw_,y,g,pi_cbar,pi_c,mc_x,kbar,k,x,R,a,gamma_mcd,gamma_mid,gamma_xstar,R_star,e_ystar,e_pistar,e_i,e_a,e_z,e_H,lambda_x,lambda_d,lambda_mc,lambda_mi,z_tildestar,AUX_ENDO_LAG_25_1,c,i,pi_d,pi_mc,pi_mi,pi_x,w,mu_z,E,y_star,e_c,i_k,r_k,P_k,dS,psi_z,pi_star,eps_c,eps_i,eps_g,eps_r,eps_a,eps_z,eps_H,eps_pi_cbar,eps_x,eps_d,eps_mc,eps_mi,eps_z_tildestar,eps_mu_z,eps_Rstar,eps_pistar,eps_ystar,eps_i_k,eps_i_y,me_w,me_E,me_pi_d,me_pi_i,me_y,me_c,me_i,me_imp,me_ex,me_ystar
imp,0.029623,-4.3207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009548,5.90E-03,0,0.16152,4.90E-03,-0.137193333,-2.58E-16,2.46E-04,-0.28224,0.050342,-0.516193333,-0.092493333,-0.020414667,-0.203813333,0.017506,-0.212066667,0.017062,-0.068866667,-0.64968,0.095973333,-2.81E-04,0.420466667,-4.40E-04,-5.13E-03,0.046057333,0,0.416793333,0.10244,0.034618,-0.331426667,-0.050406667,-0.0168,0.369233333,0.057420667,1.73E-15,0,0.0706,0,0,0,0,0,0,0.079686667,0.024458,0.007238,-0.312533333,-0.097713333,-0.662173333,0.15308,0.356326667,-4.67E-04,0.434186667,-7.04E-04,-6.58E-03,0.050348,0.081626667,-0.21194,-0.247673333,0.020724,4.39E-08,0.000333333,0,0,0,5.88E-34,0,0,0,0,0,0
ex,0.0049895,-1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019061333,-0.013156,0,-0.038749333,-0.031032,-0.008103333,5.90E-17,4.90E-04,-0.563446667,-0.07044,-0.065318,-0.007688,-0.743333333,-3.237733333,-1.950266667,0.019674,2.69E-04,0.224506667,-0.018042,0.007204,-0.025619333,0.012683333,-9.63E-04,-2.56E-03,0.537946667,0,-0.010170667,4.75E-04,-3.51E-04,-0.20608,-0.007392,-0.500333333,0.014710667,0.02029,-1.18E-15,0,-0.008013333,0,0,0,0,0,0,-0.009044667,3.85E-04,-0.016142,-0.623926667,0.318533333,-0.018389333,0.01149,-0.025062667,-0.042633333,0.013097333,-1.54E-03,-3.28E-03,0.58806,0.028843333,-3.3668,0.022978,-2.3088,2.13E-09,1.33E-05,0,0,0,8.50E-35,0,0,0,0,0,0
q,-0.065575,2.6859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006823333,-4.93E-03,0,-3.20E-03,6.98E-04,-3.86E-03,-6.54E-17,1.76E-04,-2.721533333,0.0072,-4.05E-03,1.33E-03,0.007312667,0.025234,0.025608667,-0.012358667,-2.86E-03,-0.008923333,-0.084446667,0.017414667,1.24E-03,0.049408,1.45E-04,1.43E-03,-5.90E-03,0,-0.013256667,-4.52E-03,-2.14E-03,0.018678,2.07E-03,0.010941333,0.026603333,0.129746667,4.77E-16,0,-0.017952667,0,0,0,0,0,0,-0.020264,-4.10E-03,-6.05E-03,-0.223346667,-0.012660667,-0.086066667,0.027776667,1.26E-03,2.06E-03,0.05102,2.31E-04,1.83E-03,-0.006450667,0.184446667,0.02624,-0.014434,0.030316667,0.040439333,2.40E-05,0,0,0,-2.00E-34,0,0,0,0,0,0
c_m,0.087823,-1.6366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011678667,5.36E-03,0,0.167766667,5.11E-04,-0.111366667,-2.87E-16,3.00E-04,-0.345213333,0.025452,-0.66098,0.007698,-0.023043333,-0.14082,-0.029642667,-0.080526667,-5.05E-03,-0.020600667,-0.65426,0.099506667,7.85E-04,0.45604,-1.10E-03,4.14E-03,0.025824,0,0.5171,-4.27E-03,0.036754667,-0.513853333,0.007808667,-0.009522,0.392033333,0.016496,1.59E-15,0,0.102253333,0,0,0,0,0,0,0.11542,-0.007245333,6.58E-03,-0.382266667,-0.029228667,-0.666866667,0.158706667,0.40188,1.31E-03,0.470926667,-1.76E-03,5.30E-03,0.028229333,0.02345,-0.146433333,-0.094046667,-0.035092667,4.68E-08,3.54E-04,0,0,0,-9.50E-35,0,0,0,0,0,0
i_m,-0.22984,-16.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.02E-05,0.008285333,0,0.13368,0.024469333,-0.25232,-1.28E-16,1.29E-06,-1.48E-03,0.161306667,0.129293333,-0.539153333,-0.008697333,-0.484673333,0.227706667,-0.798533333,0.11566,-0.284053333,-0.629273333,0.08024,-5.03E-03,0.26186,2.52E-03,-0.046466667,0.136266667,0,-0.030423333,0.57816,0.025094667,0.481866667,-0.309946667,-0.049245333,0.267606667,0.239873333,2.39E-15,0,-0.070533333,0,0,0,0,0,0,-0.07962,0.1658,0.010166,-1.64E-03,-0.40302,-0.641373333,0.127986667,0.15322,-0.008372,0.270406667,4.03E-03,-0.059562,0.14896,0.341,-0.503993333,-0.9326,0.269566667,3.09E-08,2.42E-04,0,0,0,3.63E-33,0,0,0,0,0,0
i_d,-0.22148,-7.9397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027703333,-0.043168,0,-0.241066667,-0.014395333,-0.063696667,3.21E-16,7.13E-04,-0.818933333,0.031114667,-0.045188667,0.787066667,0.063657333,0.40628,0.20488,-0.043388,0.11352,0.045575333,0.230413333,-0.023946,0.008932667,-0.377486667,2.77E-04,0.029716667,-0.05677,0,-0.114,0.568333333,-0.055478667,-0.020459333,0.377686667,0.10082,-0.348113333,0.155333333,3.37E-15,0,-0.094006667,0,0,0,0,0,0,-0.106106667,0.162733333,-0.052966667,-0.9068,0.064664667,0.234846667,-0.038193333,-0.31112,0.014864667,-0.389806667,4.43E-04,0.038092,-0.062058,0.22082,0.42248,-0.050674,0.242546667,-6.43E-08,-3.14E-04,0,0,0,-4.42E-33,0,0,0,0,0,0
pi_i,0.012098,0.22945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00947,3.09E-03,0,0.0977,-0.01026,-0.082226667,-4.14E-17,2.44E-04,-0.279926667,-0.026658667,-0.016522,-0.038597333,-0.019718667,0.033548,-0.09222,0.152993333,3.13E-04,0.08198,-0.35974,0.058994667,1.46E-03,0.255913333,-2.59E-04,0.015938,-0.014487333,0,0.016672667,2.97E-03,0.022083333,-0.041432,0.14202,3.18E-03,0.241213333,0.081586667,1.01E-16,0,-8.68E-04,0,0,0,0,0,0,-9.80E-04,4.49E-04,3.80E-03,-0.309973333,0.11632,-0.36666,0.094093333,0.369006667,2.42E-03,0.264266667,-4.14E-04,0.020429333,-0.015836667,0.11598,0.034885333,0.17868,-0.109166667,2.85E-08,2.18E-04,0,0,0,0,0,0,0,0,0,0
mc_d,0.000029352,-1.4286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64E-04,0.01148,0,0.11298,4.20E-04,-0.06718,-7.81E-17,-1.71E-05,0.019613333,0.003704,0.019994667,3.12E-03,-0.025242,-0.12574,-0.055343333,-0.02995,1.45E-03,-0.009038,-0.286953333,0.014085333,1.28E-04,-0.423526667,-7.39E-05,8.70E-05,0.021357333,0,0.028721333,5.18E-03,-0.033406667,-0.018812,1.12E-03,-0.008132667,0.222746667,5.81E-03,9.33E-17,0,1.62E-03,0,0,0,0,0,0,1.83E-03,2.08E-03,0.014085333,0.021718667,-0.012823333,-0.292466667,0.022465333,-0.12622,2.12E-04,-0.437346667,-1.18E-04,1.12E-04,0.023346667,0.008258667,-0.130753333,-0.034978667,-0.065517333,7.11E-08,2.01E-04,0,0,0,-1.32E-35,0,0,0,0,0,0
mc_mc,0.0021201,6.3513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125366667,-0.05462,0,-0.13778,-0.430473333,-0.126113333,5.44E-16,3.22E-03,-3.705733333,-0.3981,-0.941066667,-0.035098,-0.311086667,2.100066667,-0.8456,2.149266667,0.000841333,1.792466667,-0.496886667,0.109053333,0.023856667,0.346533333,-4.75E-03,-0.010017333,-0.308873333,0,-0.031133333,4.00E-03,0.013317333,-1.3232,-0.031998,0.2192,0.3309,0.1922,-1.01E-15,0,-0.030549333,0,0,0,0,0,0,-0.034482,0.001206,-0.06702,-4.103533333,2.5432,-0.50644,0.173933333,0.07786,0.039700667,0.35784,-0.007599333,-0.012840667,-0.33764,0.273226667,2.1838,2.510133333,-1.001066667,3.16E-08,2.99E-04,0,0,0,0,0,0,0,0,0,0
mc_mi,0.00035283,4.4728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11076,-0.046436,0,-0.144073333,-0.412206667,-0.094046667,6.34E-16,2.85E-03,-3.274066667,-0.345946667,-0.23408,-0.615966667,-0.308166667,1.876066667,-0.754666667,1.8484,0.000854667,1.643533333,-0.36646,0.08016,0.019540667,0.257273333,-2.76E-03,-0.04375,-0.255453333,0,-0.028268,0.003259333,0.010325333,-0.6338,-0.333606667,0.183946667,0.24766,0.141866667,-2.34E-15,0,-0.02476,0,0,0,0,0,0,-0.027948,1.23E-03,-0.056976667,-3.625466667,2.331866667,-0.373506667,0.127853333,-0.11254,0.032518667,0.265666667,-4.42E-03,-0.056079333,-0.279253333,0.201673333,1.950866667,2.158733333,-0.893333333,2.59E-08,2.24E-04,0,0,0,4.11E-33,0,0,0,0,0,0
