Year,Quarter,Recession,R_,pi_c_,pi_i_,pi_d_,dy_,dc_,di_,dimp_,dex_,dE_,dS_,dw_,dy_star_,pi_star_,R_star_,tb3m,tb1y,tb2y,tb3y,tb5y,tb7y,tb10y,tb20y,tb30y,aaaboa,aaboa,aboa,bbbboa,aadefault,adefault,bbbdefault,sp500,sp500d,oil,gold,reitret,reitinc
1991,2,0,1.466691304,0.886268726,0.091159642,0.399671155,0.458085104,1.049786598,-0.732317055,NA,NA,-0.538974565,NA,0.773913971,0.476897327,-1.791027443,1.222037609,5.693,6.32,6.9,7.33,7.9,8.14,8.24,NA,8.42,NA,NA,NA,NA,0,0,0.55,-1.082031072,3.14,4.73764646,3.570926473,-0.548773545,2.61
1991,3,0,1.444516443,0.732604009,-0.05192961,-0.073340468,0.148225001,0.817272947,-1.273191875,NA,NA,-0.354876225,NA,0.590094606,0.136653263,-0.522481585,1.189380071,5.254,5.42,5.99,6.28,6.92,7.29,7.47,NA,7.82,NA,NA,NA,NA,0,0,0.55,4.499402096,3.14,8.219844358,-3.651418488,1.597016537,2.33
1991,4,0,1.294090413,0.872098551,-0.297259068,-0.181838451,0.005911356,0.329336487,-0.696702755,NA,NA,-0.349366035,NA,0.813527624,0.634834916,0.508970959,1.135816494,3.958,4.12,4.77,5.11,5.93,6.38,6.71,NA,7.41,NA,NA,NA,NA,0,0,0.55,7.536227538,3.14,-13.93258427,-0.493096647,1.592712135,2.47
1992,1,0,1.002458552,0.64911876,-0.081901393,0.805018566,0.896067819,2.184365428,-0.767683274,NA,NA,-0.258803992,NA,1.868150862,0.337632439,28.1883288,3.005766255,4.144,4.54,5.6,6.17,6.94,7.25,7.54,NA,7.96,NA,NA,NA,NA,0,0,0,-3.212734453,2.84,1.775456919,-3.242248336,-1.06678224,2.05
1992,2,0,0.92817906,0.716335441,-0.079838624,1.420245484,0.744937971,1.005070242,2.769380863,2.294447058,-0.434794337,-0.010205484,-3.861342143,0.794662828,5.580687652,-0.069710742,2.959625988,3.648,4.05,4.83,5.39,6.29,6.76,7.14,NA,7.79,NA,NA,NA,NA,0,0,0,1.102334211,2.84,12.05746537,0.497512438,-0.099979476,2.28
1992,3,0,0.80921699,0.711240552,0.073453879,-0.414585472,0.614812054,1.332831638,1.222938553,2.25109112,1.832241327,-0.144428086,-2.473390513,0.6714258,2.980979218,0.098022919,2.907114725,2.741,3.06,3.8,4.34,5.33,5.94,6.37,NA,7.38,NA,NA,NA,NA,0,0,0,2.366828207,2.84,-0.045787546,1.63075131,2.787405334,2.1
1992,4,0,0.772012302,0.846864624,0.018089051,-0.186016934,0.692186394,1.534779221,2.25883136,2.028220968,0.721038772,0.145129297,6.983110845,0.884739617,3.714485486,-0.347305788,2.984153047,3.141,3.61,4.56,5.12,6.04,6.43,6.7,NA,7.4,NA,NA,NA,NA,0,0,0,4.286740908,2.84,-10.71919377,-4.613180516,1.24946491,2.29
1993,1,0,0.75216414,0.700282974,0.073386693,1.641236303,-0.127337363,0.682916563,0.767185013,0.938544169,0.31389319,0.160988092,0.271603151,-0.206903527,-5.241571468,-0.10842548,2.839248722,2.957,3.32,3.96,4.42,5.24,5.72,6.03,NA,6.93,NA,NA,NA,NA,0,0,0,3.662991974,2.7,4.87429451,1.471913488,17.12077245,1.78
1993,2,0,0.737275433,0.695413095,0.078644764,0.307322486,0.277375449,1.272071249,1.721498127,2.629514176,0.72309575,0.378864591,-2.210155156,1.63223958,4.179371535,0.320603875,2.737521816,3.08,3.45,4.03,4.39,5.05,5.46,5.8,NA,6.68,NA,NA,NA,NA,0,0,0,-0.252399754,2.7,-7.925636008,12.03374778,-4.474880926,1.72
1993,3,0,0.762088713,0.483927664,-0.055257427,-1.084573156,0.134994712,1.199599911,0.406169507,0.347871172,-0.356212476,0.288869263,0.577564569,0.69896586,3.071598663,-0.510165751,2.6890598,2.977,3.39,3.89,4.24,4.79,5.11,5.4,NA,6.04,NA,NA,NA,NA,0,0,0,1.864469407,2.7,-0.531349628,-6.064209275,7.244891088,1.55
1993,4,0,0.744720064,0.892556561,0.305658092,-0.103525694,1.031948949,1.129327427,3.530104744,2.992944015,3.177911418,0.455905357,2.972122369,1.366396852,3.547711856,0.248823431,2.637926955,3.059,3.63,4.25,4.58,5.21,5.53,5.83,6.48,6.35,NA,NA,NA,NA,0,0,0,1.638598286,2.7,-23.31730769,10.19690577,-7.83956208,1.98
1994,1,0,0.759607662,0.545331958,0.273027599,1.382449657,0.697115142,1.226544041,1.057419021,2.091159527,0.827301965,0.555281945,-1.216208809,0.110468295,-6.15292267,0.276418575,2.60724031,3.553,4.5,5.21,5.66,6.23,6.59,6.77,7.23,7.11,NA,NA,NA,NA,0,0.14,0,-4.433491793,2.89,2.960640892,-0.650925335,0.655116996,1.58
1994,2,0,0.886062843,0.542374211,0.211137582,0.555965343,1.052764458,1.038252003,1.462894819,3.399089192,2.673236311,0.580707364,1.193573454,2.102403322,4.749378735,-0.426554213,2.708472286,4.215,5.51,6.19,6.52,6.97,7.18,7.34,7.75,7.63,NA,NA,NA,NA,0,0.14,0,-0.336496408,2.89,31.05548038,-0.244090442,-0.364163966,1.8
1994,3,0,1.059368821,0.942133483,0.213849744,0.419903504,0.260165308,1.152549328,1.586182412,4.036076521,3.875863448,0.556687048,-2.21828924,1.064975044,2.3508815,0.696961467,2.72181316,4.773,5.96,6.62,6.92,7.28,7.46,7.62,7.98,7.82,NA,NA,NA,NA,0,0.14,0,4.150629675,2.89,-5.214248838,1.699935608,-3.53995655,1.84
1994,4,0,1.182975175,0.534403409,0.095715427,0.053440802,0.833269474,1.238255016,3.617108403,2.807282914,2.225229989,0.489344974,2.37487131,1.660755061,2.991316064,-0.382599362,2.728067755,5.687,7.2,7.69,7.8,7.83,7.84,7.84,8.02,7.89,NA,NA,NA,NA,0,0.14,0,-0.743446666,2.89,-3.213507625,-2.93782449,-3.250660899,2.2
1995,1,0,1.373030645,0.730172511,0.43639332,1.847995295,0.086237038,0.469493593,3.797349479,2.964290272,3.108438682,0.368791161,1.199747783,1.238684708,-8.009765936,1.159040075,2.871219796,5.87,6.49,6.8,6.92,7.08,7.17,7.2,7.54,7.44,NA,NA,NA,NA,0,0,0.17,9.023015436,2.24,7.934721441,2.283105023,-0.991762171,2.09
